s	label	match	strunz	notes	elements	crystal	url	ima
gcmin:actinolite	Actinolite	<https://www.mindat.org/1:1:18:1>	09.DE.10	Originally named actynolite: Kirwan R (1794) 16th species: actynolite, in Elements of Mineralogy, 2nd Edition, Volume 1, Elmsly (London) 167-170	Ca | Mg | Fe | Si | O | H	monoclinic	http://www.mindat.org/min-18.html	
<https://w3id.org/geochem/1.0/mingroup/52952>	Actinolite Root Name Group	<https://www.mindat.org/1:1:52952:9>					https://mindat.org/min-52952.html	
gcmin:acuminite	Acuminite	<https://www.mindat.org/1:1:19:8>	03.CC.10	Pauly H, Petersen O V (1987) Acuminite, a new Sr-fluoride from Ivigtut, South Greenland, Neues Jahrbuch für Mineralogie, Monatshefte 1987, 502-514	Sr | Al | F | O | H	monoclinic	http://www.mindat.org/min-19.html	IMA1986-038
gcmin:adamite	Adamite	<https://www.mindat.org/1:1:21:1>	08.BB.30	Friedel C, Daubrée G A (1866) Sur l‘adamine, nouvelle espèce minérale, Comptes Rendus Hebdomadaires des Séances de l'Académie des Sciences 62, 692-695	Zn | As | O | H	orthorhombic	http://www.mindat.org/min-21.html	
gcmin:adamsite-y	Adamsite-(Y)	<https://www.mindat.org/1:1:7088:7>	05.CC.30	Grice J D, Gault R A, Roberts A C, Cooper M A (2000) Adamsite-(Y), a new sodium-yttrium carbonate mineral species from Mont Saint-Hilaire, Quebec, The Canadian Mineralogist 38, 1457-1466	Na | Y | C | O | H	triclinic	http://www.mindat.org/min-7088.html	IMA1999-020
gcmin:adanite	Adanite	<https://www.mindat.org/1:1:54113:2>	07.BD				https://www.mindat.org/min-54113.html	
gcmin:adelite	Adelite	<https://www.mindat.org/1:1:23:5>	08.BH.35	Sjögren H (1891) Adelit, ett basiskt arseniat från Nordmarken och Långban, Geologiska Föreningens i Stockholm Förhandlingar 13, 781-789	Ca | Mg | As | O | H	orthorhombic	http://www.mindat.org/min-23.html	
<https://w3id.org/geochem/1.0/mingroup/29251>	Adelite-Descloizite Group	<https://www.mindat.org/1:1:29251:9>					https://mindat.org/min-29251.html	
gcmin:admontite	Admontite	<https://www.mindat.org/1:1:27:3>	06.FA.15	Walenta K (1979) Admontit, ein neues boratmineral aus der gipslägerstiitte schildmauer bei admont in der Steiermark (Österreich), Tschermaks Mineralogische und Petrographische Mitteilungen 26, 69-77 Chemical formula revised: dal Negro A, Ungaretti L, Basso R (1976) The crystal structure of synthetic hydrated borates: (II) MgO·3B<sub>2</sub>O<sub>3</sub>·7H<sub>2</sub>O, Crystal Structure Communications 5, 433-436	Mg | B | O | H	monoclinic	http://www.mindat.org/min-27.html	IMA1978-012
gcmin:adolfpateraite	Adolfpateraite	<https://www.mindat.org/1:1:42458:9>	07.EC	Plášil J, Hloušek J, Veselovský F, Fejfarová K, Dušek M, Škoda R, Novák M, Cejka J, Sejkora J, Ondruš P (2012) Adolfpateraite, K(UO<sub>2</sub>)(SO<sub>4</sub>)(OH)(H<sub>2</sub>O), a new uranyl sulphate mineral from Jáchymov, Czech Republic, American Mineralogist 97, 447-454	K | U | O | S | H	monoclinic	http://www.mindat.org/min-42458.html	IMA2011-042
gcmin:adranosite	Adranosite	<https://www.mindat.org/1:1:39324:3>	07.BC	Demartin F, Gramaccioli C M, Campostrini I (2010) Adranosite, (NH<sub>4</sub>)<sub>4</sub>NaAl<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>, a new ammonium sulfate chloride from La Fossa Crater, Vulcano, Aeolian Islands, Italy, The Canadian Mineralogist 48, 315-321	N | H | Na | Al | S | O | Cl	tetragonal	http://www.mindat.org/min-39324.html	IMA2008-057
gcmin:adranosite-fe	Adranosite-(Fe)	<https://www.mindat.org/1:1:38898:6>	07.BC	Mitolo D, Demartin F, Garavelli A, Campostrini I, Pinto D, Gramaccioli C M, Acquafredda P, Kolitsch U (2013) Adranosite-(Fe), (NH_4_)_4_NaFe_2_(SO_4_)_4_Cl(OH)_2_, a new ammonium sulfate chloride from La Fossa Crater, Vulcano, Aeolian Islands, Italy, The Canadian Mineralogist 51, 57-66	N | H | Na | Fe | S | O | Cl	tetragonal	http://www.mindat.org/min-38898.html	IMA2011-006
gcmin:aegirine	Aegirine	<https://www.mindat.org/1:1:31:0>	09.DA.25	Berzelius J (1835) [Untitled note on aegirine], Neues Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde 1835, 184-185	Na | Fe | Si | O	monoclinic	http://www.mindat.org/min-31.html	
gcmin:aegirine-augite	Aegirine-augite	<https://www.mindat.org/1:1:32:7>	09.DA.20	Rosenbusch H (1892) Mineralien des monoklinen Krystallsystems. Gruppe der monoklinen Pyroxene, in Mikroskopische Physiographie der Petrographisch Wichtigen Mineralien, E.Schweizerbart'sche Verlagshandlung (E. Koch) (Stuttgart) 510-539 Redefined: Morimoto N (1988) Nomenclature of pyroxenes, Mineralogical Magazine 52, 535-550	Ca | Na | Fe | Mg | Si | O	monoclinic	http://www.mindat.org/min-32.html	
gcmin:aenigmatite	Aenigmatite	<https://www.mindat.org/1:1:33:4>	09.DH.40	Breithaupt A (1865) Mineralogische studien. 29. Kölbingit. Ainigmatit, Berg- und Huttenmannische Zeitung 24, 397-398	Na | Fe | Ti | O | Si	triclinic	http://www.mindat.org/min-33.html	
<https://w3id.org/geochem/1.0/mingroup/40089>	Aenigmatite Group	<https://www.mindat.org/1:1:40089:9>					https://mindat.org/min-40089.html	
gcmin:aerinite	Aerinite	<https://www.mindat.org/1:1:34:1>	09.DB.45	von Lasaulx A (1876) Aërinit, ein neues mineral, Neues Jahrbuch für Mineralogie 1876, 175, 352-358 Re-instated as a valid mineral: Azambre B, Monchoux P (1988) Précisions minéralogiques sur l'aérinite: nouvelle occurrence à Saint-Pandelon (Landes, France), Bulletin de Minéralogie 111, 39-47 Chemical formula redefined: Rius J, Elkaim E, Torrelles X (2004) Structure determination of the blue mineral pigment aerinite from synchrotron powder diffraction data: The solution of an old riddle, European Journal of Mineralogy 16, 127-134 Chemical formula redefined again: Rius J, Crespi A, Roig A, Melgarejo J C (2009) Crystal-structure refinement of Fe<sup>3+</sup>-rich aerinite from synchrotron powder diffraction and Mössbauer data, European Journal of Mineralogy 21, 233-240	Ca | Na | Fe | Mg | Al | Si | O | H | C	hexagonal	http://www.mindat.org/min-34.html	
gcmin:aerugite	Aerugite	<https://www.mindat.org/1:1:36:5>	08.BC.15	Bergemann C (1858) Über einige nickelerze, Journal für Praktische Chemie 75, 239-244 Redefined in: Davis R J, Hey M H, Kingsbury A W G (1965) Xanthiosite and aerugite, Mineralogical Magazine 35, 72-83	Ni | As | O	hexagonal	http://www.mindat.org/min-36.html	
<https://w3id.org/geochem/1.0/mingroup/42265>	Aeschynite Group	<https://www.mindat.org/1:1:42265:1>					https://mindat.org/min-42265.html	
gcmin:aeschynite-ce	Aeschynite-(Ce)	<https://www.mindat.org/1:1:37:2>	04.DF.05	Berzelius J (1830) Mineralogie: Aeschynit, Jahres-Bericht über die Fortschritte der Physischen Wissenschaften 9, 182-209 Name changed from aeschynite: Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042	Ce | Ca | Fe | Th | Ti | Nb | O | H	orthorhombic	http://www.mindat.org/min-37.html	
gcmin:aeschynite-nd	Aeschynite-(Nd)	<https://www.mindat.org/1:1:38:9>	04.DF.05	Zhang P, Tao K (1982) Aeschynite-(Nd), Scientia Geologica Sinica 1982, 424-428	Nd | Ln | Ca | Ti | Nb | O | H	orthorhombic	http://www.mindat.org/min-38.html	
gcmin:aeschynite-y	Aeschynite-(Y)	<https://www.mindat.org/1:1:39:6>	04.DF.05	Originally named priorite: Brøgger W C (1906) Die mineralien der Südnorwegischen granitpegmatitgänge: Blomstrandin (und priorit), Skrifter udgivne af Videnskabs-Selskabet i Christiania 1906(6), 1-162 Name changed to aeschynite-(Y): Levinson A A (1966) A system of nomenclature for rare-earth minerals, American Mineralogist 51, 152-158	Y | Ca | Th | Ti | Nb | O | H	orthorhombic, amorphous	http://www.mindat.org/min-39.html	
gcmin:afghanite	Afghanite	<https://www.mindat.org/1:1:41:9>	09.FB.05	Bariand P, Cesbron F, Giraud R (1968) Une nonvelle espece minerale: L'afghanite de Sar–e–Sang, Badakhshan, Afghanistan–Comparaison avec les mineraux du groupe de la cancrinite, Bulletin de la Société Française de Minéralogie et de Cristallographie 91, 34-42 Chemical formula revised: Ballirano P, Bonaccorsi E, Maras A, Merlino S (1997) Crystal structure of afghanite, the eight-layer member of the cancrinite-group: evidence for long-range Si,Al ordering, European Journal of Mineralogy 9, 21-30	Na | Ca | Si | Al | O | S | Cl	hexagonal	http://www.mindat.org/min-41.html	IMA1967-041
gcmin:afmite	Afmite	<https://www.mindat.org/1:1:40242:6>	08.DD.15	Kampf A R, Mills S J, Rossman G R, Steele I M, Pluth J J, Favreau G (2011) Afmite, Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O, a new mineral from Fumade, Tarn, France: description and crystal structure, European Journal of Mineralogy 23, 269-277	Al | O | H | P	triclinic	http://www.mindat.org/min-40242.html	IMA2005-025a
gcmin:afwillite	Afwillite	<https://www.mindat.org/1:1:42:6>	09.AG.75	Parry J, Wright F E (1925) Afwillite, a new hydrous calcium silicate, from Dutoitspan mine, Kimberley, South Africa, Mineralogical Magazine 20, 277-285	Ca | Si | O | H	monoclinic, triclinic	http://www.mindat.org/min-42.html	
gcmin:agaite	Agaite	<https://www.mindat.org/1:1:42745:2>	07.BC	Kampf A R, Mills S J, Housley R M, Marty J (2013) Lead-tellurium oxysalts from Otto Mountain near Baker, California: IX. Agaite, Pb_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_), a new mineral with CuO_5_-TeO_6_ polyhedral sheets, American Mineralogist 98, 512-517	Pb | Cu | Te | O | H | C	orthorhombic	http://www.mindat.org/min-42745.html	IMA2011-115
gcmin:agakhanovite-y	Agakhanovite-(Y)	<https://www.mindat.org/1:1:45953:0>	09.CM	Hawthorne F C, Abdu Y A, Ball N A, Cerný P, Kristiansen R (2014) Agakhanovite-(Y), ideally (YCa)[box]_2_KBe_3_Si_12_O_30_, a new milarite-group mineral from the Heftetjern pegmatite, Tørdal, Southern Norway: description and crystal structure. American Mineralogist 99, 2084-2088	Y | Ca | K | Be | Si | O	hexagonal	https://www.mindat.org/min-45953.html	IMA2013-090
gcmin:agardite-ce	Agardite-(Ce)	<https://www.mindat.org/1:1:48:8>	08.DL.15	Walenta K, Theye T (2004) Agardite-(Ce) of the Clara mine in the central Black Forest, Aufschluss 55, 17–23	Ce | Cu | As | O | H	hexagonal	https://www.mindat.org/min-48.html	IMA2003-030
gcmin:agardite-la	Agardite-(La)	<https://www.mindat.org/1:1:50:1>	08.DL.15	Fehr T, Hochleitner R (1984) Agardite-La. Ein neues mineral von Lavrion, Griechenland, Lapis 9, 22-37	La | Cu | As | O | H	hexagonal	http://www.mindat.org/min-50.html	IMA1980-092
gcmin:agardite-nd	Agardite-(Nd)	<https://www.mindat.org/1:1:43:3>	08.DL.15	Pekov I V, Chukanov N V, Zadov A E, Voudouris P, Magganas A, Katerinopoulos A (2011) Agardite-(Nd), NdCu<sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O, from the Hilarion Mine, Lavrion, Greece: mineral description and chemical relations with other members of the agardite-zálesíite solid-solution system, Journal of Geosciences 57, 249-255	Nd | Cu | As | O | H	hexagonal	http://www.mindat.org/min-43.html	IMA2010-056
gcmin:agardite-y	Agardite-(Y)	<https://www.mindat.org/1:1:44:0>	08.DL.15	Dietrich J E, Orliac M, Permingeat F (1969) L'agardite, une nouvelle espèce minérale, et le problème du chlorotile, Bulletin de la Société Française de Minéralogie et de Cristallographie 92, 420-434 Name changed from agardite: Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042	Y | Cu | As | O | H	hexagonal	http://www.mindat.org/min-44.html	IMA1968-021
gcmin:agrellite	Agrellite	<https://www.mindat.org/1:1:57:0>	09.DH.75	Gittins J, Bown M G, Sturman D (1976) Agrellite, a new rock-forming mineral in regionally metamorphosed agpaitic alkalic rocks, The Canadian Mineralogist 14, 120-126	Na | Ca | Si | O | F	triclinic	http://www.mindat.org/min-57.html	IMA1973-032
gcmin:agricolaite	Agricolaite	<https://www.mindat.org/1:1:39868:2>	05.ED.50	Skála R, Ondruš P, Veselovský F, Císarová I, Hloušek J (2011) Agricolaite, a new mineral of uranium from Jáchymov, Czech Republic, Mineralogy and Petrology 103, 169-175	K | U | O | C	monoclinic	http://www.mindat.org/min-39868.html	IMA2009-081
gcmin:agrinierite	Agrinierite	<https://www.mindat.org/1:1:58:7>	04.GB.05	Cesbron F, Brown W L, Bariand P, Geffroy J (1972) Rameauite and agrinierite, two new hydrated complex uranyl oxides from Margnac, France, Mineralogical Magazine 38, 781-789 Chemical formula modified: Cahill C L, Burns P C (2000) The structure of agrinierite: a Sr-containing uranyl oxide hydrate mineral, American Mineralogist 85, 1294-1297	K | Ca | U | O | H	orthorhombic	http://www.mindat.org/min-58.html	IMA1971-046
gcmin:aguilarite	Aguilarite	<https://www.mindat.org/1:1:59:4>	02.BA.55	Genth F A (1891) Aguilarite, a new species, The American Journal of Science Third Series 41, 401-402 Redefined as the Se-rich end-member of the acanthite structure: Bindi L, Pingitore N E (2013) On the symmetry and crystal structure of aguilarite, Ag4SeS. Mineralogical Magazine 77, 21-31	Ag | Se | S	monoclinic, orthorhombic	http://www.mindat.org/min-59.html	
gcmin:aheylite	Aheylite	<https://www.mindat.org/1:1:60:0>	08.DD.15	Foord E E, Taggart J E (1998) A reexamination of the turquoise group: the mineral aheylite, planerite (redefined), turquoise and coeruleolactite, Mineralogical Magazine 62, 93-111	Fe | Al | P | O | H	triclinic	http://www.mindat.org/min-60.html	IMA1984-036
gcmin:ahlfeldite	Ahlfeldite	<https://www.mindat.org/1:1:61:7>	04.JH.10	Herzenberg R, Ahlfeld F (1935) Blockit, ein neues seienerz aus Bolivien, Zentralblatt für Mineralogie, Geologie und Paläontologie 6, 277-279 Redefined: Aristarain L F, Hurlbut C S (1969) Ahlfeldite from Pacacake Bolivia; A restudy, American Mineralogist 54, 448-456	Ni | Se | O | H	monoclinic	http://www.mindat.org/min-61.html	
gcmin:ahrensite	Ahrensite	<https://www.mindat.org/1:1:43891:7>	09.AC				https://www.mindat.org/min-43891.html	
gcmin:aikinite	Aikinite	<https://www.mindat.org/1:1:63:1>	02.HB.05a	Chapman E J (1843) Aikenite, in Practical Mineralogy, Hippolyte Bailliere, Publisher (London) 127-127	Cu | Pb | Bi | S	orthorhombic	http://www.mindat.org/min-63.html	
gcmin:aiolosite	Aiolosite	<https://www.mindat.org/1:1:38693:3>	07.BD.20	Demartin F, Gramaccioli C M, Campostrini I, Pilati T (2010) Aiolosite, Na<sub>2</sub>(Na<sub>2</sub>Bi)(SO<sub>4</sub>)<sub>3</sub>Cl, a new sulfate isotypic to apatite from La Fossa Crater, Vulcano, Aeolian Islands, Italy, American Mineralogist 95, 382-385	Na | Bi | S | O | Cl	hexagonal	http://www.mindat.org/min-38693.html	IMA2008-015
gcmin:ajkaite	Ajkaite	<https://www.mindat.org/1:1:51791:3>					https://www.mindat.org/min-51791.html	
gcmin:ajoite	Ajoite	<https://www.mindat.org/1:1:66:2>	09.EA.70	Schaller W T, Vlisidis A C, (1958) Ajoite, a new hydrous aluminum copper silicate, American Mineralogist 43, 1107-1111 Chemical formula revised: Chao G Y (1981) Ajoite: new data, American Mineralogist 66, 201-203 Chemical formula revised again: Pluth J J, Smith J V (2002) Arizona porphyry copper/hydrothermal deposits II: Crystal structure of ajoite, (K+Na)<sub>3</sub>Cu<sub>20</sub>Al<sub>3</sub>Si<sub>29</sub>O<sub>7</sub>(OH)<sub>16</sub>·~8H<sub>2</sub>O, Proceedings of the National Academy of Sciences 99, 11002-11005	K | Cu | Al | Si | O | H	triclinic	http://www.mindat.org/min-66.html	
gcmin:akaganeite	Akaganeite	<https://www.mindat.org/1:1:67:9>	04.DK.05	Mackay, A L (1962) ß-ferric oxyhydroxide-akaganéite, Mineralogical Magazine 33, 270-280 Chemical formula redefined: Post J E, Heaney P J, von Dreele R B, Hanson J C (2003) Neutron and temperature-resolved synchrotron X-ray powder diffraction study of akaganéite, American Mineralogist 88, 782-788	Fe | Ni | O | H | Cl	monoclinic, tetragonal	http://www.mindat.org/min-67.html	IMA1962-004
gcmin:akaogiite	Akaogiite	<https://www.mindat.org/1:1:35912:4>	04.D	El Goresy A, Dubrovinsky L, Gillet P, Graup G, Chen M (2010) Akaogiite: An ultra-dense polymorph of TiO<sub>2</sub> with the baddeleyite-type structure, in shocked garnet gneiss from the Ries Crater, Germany, American Mineralogist 95, 892-895	Ti | O	monoclinic	http://www.mindat.org/min-35912.html	IMA2007-058
gcmin:akatoreite	Akatoreite	<https://www.mindat.org/1:1:68:6>	09.BH.15	Read P B, Reay A (1971) Akatoreite, a new manganese silicate from eastern Otago, New Zealand, American Mineralogist 56, 416-426 Chemical formula revised: Burns P C, Hawthorne F C (1993) Edge–sharing Mn<sup>2+</sup>O<sub>4</sub> tetrahedra in the structure of akatoreite, Mn<sup>2+</sup><sub>9</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>(OH)<sub>8</sub>, The Canadian Mineralogist 31, 321-329	Mn | Al | Si | O | H	triclinic	http://www.mindat.org/min-68.html	IMA1969-015
gcmin:akdalaite	Akdalaite	<https://www.mindat.org/1:1:69:3>	04.FL.70	Shpanov E P, Sidorenko G A, Stolyarova T I (1970) Akdalaite, a new hydrous modification of alumina, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 99, 333-339	Al | O | H	hexagonal, orthorhombic	http://www.mindat.org/min-69.html	IMA1969-002
gcmin:akhtenskite	Akhtenskite	<https://www.mindat.org/1:1:71:6>	04.DB.15b	Chukhrov F V, Gorshkov A I, Sivtsov A V, Berezovskaya V V, Dikov Y P, Dubinina G A, Varinov N N (1989) Akhtenskite – The natural analog of e–MnO<sub>2</sub>, Izvestiya Akademii Nauk SSSR 9, 75-80	Mn | O	hexagonal	http://www.mindat.org/min-71.html	IMA1982-072
gcmin:aklimaite	Aklimaite	<https://www.mindat.org/1:1:42244:8>	09.H	Zadov A E, Pekov I V, Zubkova N V, Gazeev V M, Chukanov N V, Yapaskurt V O, Kartashov P M, Galuskin E V, Galuskina I O, Pertzev N N, Gurbanov A G, Pushcharovsky D Y (2012) Aklimaite, Ca<sub>4</sub>[Si<sub>2</sub>O<sub>5</sub>(OH<sub>2</sub>)](OH)<sub>4</sub>·5H<sub>2</sub>O, a new natural hydrosilicate from Lakargi area (the North Caucazus, Russia), Zapiski Rossiiskogo Mineralogicheskogo Obshchetstva 141(2), 21-31	Ca | Si | O | H	monoclinic	http://www.mindat.org/min-42244.html	IMA2011-050
gcmin:akrochordite	Akrochordite	<https://www.mindat.org/1:1:72:3>	08.DD.10	Flink G (1922) Akrochordit, ett nytt mineral från Långbans gruvor, Geologiska Foereningens i Stockholm Foerhandlingar 44, 773-776	Mn | As | O | H	monoclinic	http://www.mindat.org/min-72.html	
<https://w3id.org/geochem/1.0/mingroup/470609>	Akrochordite Group	<https://www.mindat.org/1:1:470609:6>					https://mindat.org/min-470609.html	
gcmin:aksaite	Aksaite	<https://www.mindat.org/1:1:73:0>	06.FA.05	Blazko L N, Kondrat'eva V V, Yarzhemskii Y Y (1962) Aksaite, a new hydrous magnesium borate, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 91, 447-454	Mg | B | O | H	orthorhombic	http://www.mindat.org/min-73.html	
gcmin:aktashite	Aktashite	<https://www.mindat.org/1:1:74:7>	02.GA.30	Vasil'ev V I (1968) New ore minerals of the mercury deposits of Gornyi Altai and their parageneses. In: Problems of the metallogeny of mercury. Izdatelstvo "Nauka" Moskva 1968, 111-129 Chemical composition revised: Kaplunik L N, Pobedimskaya E A, Belov H V (1980) Kristallicheskaya struktura aktashimita Cu<sub>6</sub>Hg<sub>3</sub>As<sub>4</sub>S<sub>12</sub>, Doklady Akademii Nauk SSSR 251, 96-98	Cu | Hg | As | S	hexagonal	http://www.mindat.org/min-74.html	
gcmin:alabandite	Alabandite	<https://www.mindat.org/1:1:89:1>	02.CD.10	Called alabandina sulfurea by Don Andres Manuel del Rio as reported in: Haüy R J (1822) Manganèse sulfuré, Traité de Minéralogie 4, 268-272 Renamed alabandine: Beudant F S (1832) Alabandine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 399-400	Mn | S	cubic	http://www.mindat.org/min-89.html	
