[s]	label	def	note	b	blabel	source
secm:grab_shipek	grab Shipek	When the grab touches the bottom, inertia from a self-contained weight releases a catch and helical springs rotate the inner half cylinder by 180°. After turning, the scoop remains closed by the residual torque of the scoop spring. Because the rotation of the bucket is extremely rapid, it cuts the sediment cleanly, particularly in soft clays, muds, silts & sands.  After closing, the sample has optimum protection from washout during retrieval by the cylindrical design. https://www.wildco.com/how-does-the-shipek-grab-operate/, https://www.feritech.com/products/geotechnical/sea-floor-grabs/shipek-grab/	centre-pivot sampler is designed to sample unconsolidated sediments from soft ooze to hard-packed silts from deep lakes and near offshore. It brings up virtually undisturbed, unwashed samples to the surface from any depth. Its speciality is sampling benthic organisms living at or immediately below the water/bottom interface and sediment containing a significant population of non-sessile forms. https://envcoglobal.com/catalog/water/shipek-grab/	secm:sm036	Sediment grab	Geoscience Australia
secm:grab_smith_mcintyre	Smith Mcintyre grab sampling	Near surface sediment grab sample. Sample has a surface area of 0.1m2. It is useful for quantitative macrobenthos sampling in either shallow or deep water.	two spring hinged jaws with triggers on either side of the grab frame. The jaws are 'locked' in place within the frame until two pads hit the seafloor allowing the spring-loaded jaws to snap shut and collect the sediment. The strong hinges aid penetration of dense sediment while the large jaws return a substantial volume of sediment. Access to the sediment is through flaps on the upper side. The Smith McIntyre grab is used to get a quick sample of the seafloor and is not designed to get an undistributed sample	secm:sm039	Water body bottom grab	https://www.ga.gov.au/scientific-topics/marine/survey-techniques/sedimentary-coring-drilling
secm:grab_van_veen	Van Veen grab sampling	Quantitative sample of the sediment. Van Veen grab has long arms for levering the clam shell scoop.	Two thin, hinged overlapping lids open while the equipment is descending which close on retrieval and are held shut by water pressure. The grab is triggered by a messenger weight dropped down the rope. Used for taking quantitative and qualitative samples of macroscopic benthic fauna. It can be used to determine the productivity of soft sediments, particularly those composed of finely divided muds, ooze, submerged marl and fine peaty materials. It is not recommended for rocky or sandy environments or where there is moderate benthic vegetation because small pebbles or vegetation stems can prevent proper jaw closure. https://www.ga.gov.au/scientific-topics/marine/survey-techniques/sedimentary-coring-drilling	secm:sm036	Sediment grab	Geoscience Australia
secm:grainsize_separation	Grain size separation	Separation of various size fractions of mineral or rock particles from the original specimen. For example, by using a seive or particle settling.		secm:sm045	Processed separation	Geoscience Australia
secm:in_situ_grab_sampler	Point souce bailer sampling	A point souce bailer that has a check valve at each end of the bailer allowing sample collection from a discrete depth		secm:bailer	Borehole bailer sampling	Geoscience Australia
secm:liquid-gas_separation	Liquid-gas separation	Separation of natural gas from a liquid phase at a surface separator to generate samples of both phases.		secm:borehole_fluid_sampling	Borehole fluid sampling	Geoscience Australia
secm:lysimeter	Lysimeter water collection	A lysimeter is a container used to measure water movement in soil and the quality of water. They are used in hydrology and water quality research to study the natural environment and understand how water moves through soil.   		secm:sm014	Water sampling	https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/lysimeters
secm:microanalyticsampling	Microanalytic sampling	Sampling microscopic regions of a prepared sample by particle bombardment (electron, ion...) or with electromagneting beams (laser, x-ray...)		secm:sm045	Processed separation	this vocabulary
secm:outcrop_sampling	Outcrop sampling	Collection of material from a rock outcrop or subcrop at the ground surface, typically using a hammer, or feathers and wedges.		secm:surface_material_sampling	Subaerial surface sampling	Geoscience Australia
secm:percussion_drilling	Percussion drilling	Rock or sediment chips or fragments derived from a percussion (hammer) method. Include pneumatic drilling		secm:drilling	Drilling	Geoscience Australia
secm:phlegercoring	Phleger coring	Small coring device for use in shallow water, for cores <1 m in length, in  sediment types ranging from soft to sandy, semi-compacted material, as well as peat and plant roots in shallow lakes or marshes		secm:sm005	Soft material coring	https://archive.epa.gov/water/archive/polwaste/web/pdf/ch3.pdf
secm:pipe_dredge	dredge pipe	Sampling of small fragments and mud from the sea floor, using a metal pipe linked to the tow cable. Total weight of the dredge is around 25kg.		secm:sm033	Dredge sampling	Geoscience Australia
secm:pit_or_trench_sampling	Pit or trench sampling	Collection of materials, typically regolith, near the ground surface from a pit, trench, or costean dug by spade, backhoe, or other mechanical means (not drilling).		secm:surface_material_sampling	Subaerial surface sampling	Geoscience Australia
secm:pumpsampling	Pump sampling	Sampling a fluid using a pump to move fluid to the sample container		secm:sm043	Fluid sampling	SESAR sample descriptions
secm:rab_drilling	RAB drilling	RAB, rotary air blast, or Down-the-hole drilling. Rock or sediment chips or fragments are derived from a percussion drilling method where the cuttings are blown up the outside of the rods and collected at surface, using air or a combination of air and foam lift the cuttings.		secm:percussion_drilling	Percussion drilling	http://www.foragefte.com; http://www.masterdrilling.com
secm:rain_gauge	Rain gauge	Rainwater is collected using an approved rain gauge/collector method.		secm:sm014	Water sampling	Geoscience Australia
secm:reverse_circulation_drilling	reverse circulation drilling	A drilling technique similar to rotary drilling except that drilling fluid flow down the annular space between the drilling stem and the wall of the hole forcing cuttings up through the inside of the drill stem .		secm:rotary_drilling	Rotary drilling	National Groundwater Information System (NGIS)
secm:rotary_drilling	Rotary drilling	A drilling method using a drill stem equipped with a bit that is rotated to cut and grind the rock with a fluid pumped down the stem to force cuttings up through the annular space between the stem and the wall of the hole		secm:drilling	Drilling	National Groundwater Information System (NGIS)
secm:rotary_hammer_drilling	Rotary hammer drilling	A percussion drilling method using a cutting tool powered by compressed air that creates a rapid percussion effect coupled with rotary action to drill hard rocks.		secm:percussion_drilling	Percussion drilling	National Groundwater Information System (NGIS)
secm:ses200	Agassiz trawl	Nets towed over the sea floor to sample species living on or near the bottom, with single rectangular mouth piece, a conical filtering net, and equipped with closing mouth mechanism.		secm:trawlsampling	Trawl sampling	<http://vocab.nerc.ac.uk/collection/L22/current/TOOL0991/1>
secm:ses201	Submersible grab	Collect sample from an underwater vehicle, using mechanical arms on vehicle.		secm:sm039	Water body bottom grab	
secm:ses202	Backhoe			secm:sm047	Surface grab 	
secm:ses203	Beam trawl	Nets towed over the sea floor having the horizontal net opening provided by a wooden or metal beam that disrupts the surface of the bed.		secm:trawlsampling	Trawl sampling	<http://vocab.nerc.ac.uk/collection/L05/current/62>
secm:ses204	Blake trawl			secm:trawlsampling	Trawl sampling	
secm:ses205	Campbell grab sampling	utilizes a pulley arrangement to gain extra purchase to activate a pair of jaws.  Shepard (1973) reports that  large Petersen grabs have been known to bring back undisturbed samples that still retain stratification characteristics.  However, Schlieper (1972) points out  that the tensile closing action from the attached hydrowire creates a secondary lifting force at the central axis that the two jaws pivot around, resulting in a shallower bite (5 centimeters (cm) or less), especially in firmer sediments. photo shows large jaw pincers, bigger that other grab samplers, dated 1963, so it is likely old technology no longer in use.	photo shows large jaw pincers, bigger that other grab samplers, dated 1963, so it is likely old technology no longer in use.   'Campbell' grab is a large version of a Petersen grab.  https://woodshole.er.usgs.gov/openfile/of2005-1001/htmldocs/samplers/grab/campbell.htm	secm:sm039	Water body bottom grab	PSEP, 1997. Recommended Guidelines for Sampling Marine Sediment, Water Column, and Tissue in Puget Sound. 
secm:ses206	Cartridge filter filtrate	liquid that has been passed through a cartridge filter		secm:sm023	Water sampling-filter	
secm:ses207	Cartridge filter residue	material left behind when liquid passed throught cartridge filter		secm:filtration	Filtration residue sampling	this vocabulary
secm:ses208	Chain saw	Sample extracted from feature of interest by cutting with a chain saw.		secm:sm100	Sampling method	SESAR data
secm:ses210	Chip sampling	sampling over an area of a feature off interest by breaking off small pieces; produces an aggregate		secm:sm016	Collected from outcrop	
secm:ses212	Syringe sampling	Sampling by using a tube with a plunger to pull material into a cylinder; used in soils, soft sediment, and fluids, commonly for analysis of volatiles.		secm:ses233	Suction Sampler	Based on web search for syringe sampling and inspection of SESAR records reporting methods with 'syringe' in the text.  Examples from soil environmental sampling, sediment sampling, water sampling
secm:ses213	Subaqueous organism trap	Collection of sample using trap to collect organisms in water, e.g. crabs, bacteria.	generalize from crap trap, mussel pot, bacteria trap, _trap_ found in SESAR data.	secm:sm100	Sampling method	this vocabulary
secm:ses214	Gas tight bottle sampling	Gas collection in a collection bottle that is sealed well enough to maintain the pressure of the original sample fluid; used to sample gasses from deep sea sources.  Described technique uses flow-through gas sampling.		secm:sm013	Gas sampling	https://doi.org/10.1016/j.dsr.2020.103282
secm:ses215	Ghostbuster fluid sampler	Ghostbuster appears to be a device for in situ chemical measurements in a high temperature/pressure environment (e.g. sea floor black smoker), designed by Kang Ding/Bill Seyfried of UMN.  The information found on the web doesn't indicate it returns material samples, just measurements. (https://www.marine-geo.org/services/vocab/vocab_device_type).  https://gfd.whoi.edu/wp-content/uploads/sites/66/2023/08/at11-7-cruise_report.pdf. https://www.unols.org/sites/default/files/CA_InstrumentationManipulators.pdf		secm:sm043	Fluid sampling	
secm:ses216	Hammer from outcrop			secm:sm016	Collected from outcrop	
secm:ses217	Hand auger			secm:auger	Auger	
secm:ses218	Human grab from surface	Sample collected by picking up some loose material from subaerial solid earth boundary surface		secm:sm035	Manual grab	
secm:ses220	Trigger Coring			secm:sm005	Soft material coring	
secm:ses221	Kasten Corer	Large volume, reletatively undisturbed sediment core (~3m long) from a Kasten Corer. The corer is constructed of stainless steel and is square in cross-section. A weight of several hundred kilograms on top of the corer pushes it 2-3 metres into the seabed. It is designed for sedimentological and geochemical sampling of fine-grained sediments. This type of corer obtains relatively undisturbed cores and can preserve the sediment/water interface. This type of core is useful for determining sediment accumulation rates.	A slight variation on the gravity corer is the Kasten corer. This uses a similar set up, but uses a sample tube manufactured from sheet metal of square cross section with sides approximately 150mm. No liner is used. A cutter section fitted to the end of the sample tube has two spring-loaded flaps that close when the corer is withdrawn from the sediment. The sample tube is designed to be split to gain access to the sample. https://noc.ac.uk/facilities/national-marine-equipment-pool/scientific-engineering/seafloor-sampling	secm:sm005	Soft material coring	Geoscience Australia
secm:ses222	Mechanical grab from surface	under water or atmosphere		secm:sm047	Surface grab 	
secm:ses223	Menzie trawl			secm:trawlsampling	Trawl sampling	
secm:ses224	Micropillar Sampling	focused ion beam (FIB) machining is used to fabricate nano to micron sized pillars of material for testing of mechanical properties	reported for samples of carrera marble by pskemer@wustl.edu, 45 samples.  Interpret to mean the sample is the ion-milled micropillar.	secm:sm100	Sampling method	https://www.sciencedirect.com/topics/engineering/micropillar-compression
secm:ses225	Niskin bottle	device used to collect water samples at different depths in the ocean. It consists of a PVC or metal cylinder with two or more hinged caps at either end that are remotely operated using a wire or cable. When the sampler is lowered into the ocean, the caps are opened at predetermined depths, allowing seawater to be trapped inside without contamination from the surrounding water.		secm:sm014	Water sampling	https://adkinstruments.in/index.php/categories/oceanography/niskin-water-sampler
secm:ses225	Niskin bottle	device used to collect water samples at different depths in the ocean. It consists of a PVC or metal cylinder with two or more hinged caps at either end that are remotely operated using a wire or cable. When the sampler is lowered into the ocean, the caps are opened at predetermined depths, allowing seawater to be trapped inside without contamination from the surrounding water.		secm:sm014	Water sampling	Geoscience Australia
secm:ses225	Niskin bottle	device used to collect water samples at different depths in the ocean. It consists of a PVC or metal cylinder with two or more hinged caps at either end that are remotely operated using a wire or cable. When the sampler is lowered into the ocean, the caps are opened at predetermined depths, allowing seawater to be trapped inside without contamination from the surrounding water.		secm:bottlesampling	Container sampling	https://adkinstruments.in/index.php/categories/oceanography/niskin-water-sampler
secm:ses225	Niskin bottle	device used to collect water samples at different depths in the ocean. It consists of a PVC or metal cylinder with two or more hinged caps at either end that are remotely operated using a wire or cable. When the sampler is lowered into the ocean, the caps are opened at predetermined depths, allowing seawater to be trapped inside without contamination from the surrounding water.		secm:bottlesampling	Container sampling	Geoscience Australia
secm:ses225	Niskin bottle	Surface water/seawater collection. A device for collection of water samples from a specific depth in the water column.		secm:sm014	Water sampling	https://adkinstruments.in/index.php/categories/oceanography/niskin-water-sampler
secm:ses225	Niskin bottle	Surface water/seawater collection. A device for collection of water samples from a specific depth in the water column.		secm:sm014	Water sampling	Geoscience Australia
secm:ses225	Niskin bottle	Surface water/seawater collection. A device for collection of water samples from a specific depth in the water column.		secm:bottlesampling	Container sampling	https://adkinstruments.in/index.php/categories/oceanography/niskin-water-sampler
secm:ses225	Niskin bottle	Surface water/seawater collection. A device for collection of water samples from a specific depth in the water column.		secm:bottlesampling	Container sampling	Geoscience Australia
secm:ses226	Pulverize	reduce to powder		secm:sm100	Sampling method	
secm:ses227	Scoop	Interpret to mean collecting some amount of a liquid or fine-grained aggregate using a spoon-like instrument (scoop); size can range from milligram to kilogram mass.  Metallurgy: _A shallow, spherical 1.25-inch diameter disc is sawed out of the feature of interest._ https://www.stress.com/services/materials-engineering/field-inspection-and-testing/non-destructive-scoop-sampling/.		secm:sm100	Sampling method	
secm:ses228	Settlement Plate	Plates designed to remain in an environment (typically subaqueous) to monitor biome development. DOI: 10.13140/RG.2.2.33138.71361.  Also colonization substrate sampler collected in submarine exploration.		secm:sm100	Sampling method	
secm:ses229	Shaker table			secm:sm100	Sampling method	
secm:ses230	Shovel			secm:surface_material_sampling	Subaerial surface sampling	
secm:ses231	Sieved aggregate	Sample of particular grain size particles using sieves.		secm:grainsize_separation	Grain size separation	
secm:ses232	Slide hammer corer			secm:sm005	Soft material coring	
secm:ses233	Suction Sampler			secm:sm100	Sampling method	
secm:ses234	Core preserved with wax	Core coated with wax or other sealant to preserve volatile content	A standard procedure for core preservation consists of wrapping the sample with plastic film and aluminum foil before dip coating it. For the purposes of this paper, the term ‘wax’ will be used to describe the meltable coating used to cover the wrapped core plug or whole core section.	secm:sm100	Sampling method	https://jgmaas.com/SCA/2014/SCA2014-097.pdf
secm:sidewall_core	Sidewall coring	A method to extract core or plug from the sidewall of a borehole.		secm:sm041	Coring	Geoscience Australia
secm:sidewall_core	Sidewall coring	A method to extract core or plug from the sidewall of a borehole.		secm:drilling	Drilling	Geoscience Australia
secm:sidewall_core_bullet	Percussion sidewall coring	Percussion cores are taken by firing hollow bullets into the formation. The bullets are attached to the tool by fasteners, and are retrieved, along with the core inside, by pulling up the tool and the fasteners. Percussion coring tools typically hold 20 to 30 bullets, but two or three tools can be combined on one run in the hole.		secm:sidewall_core	Sidewall coring	Geoscience Australia
secm:sidewall_core_mechanical	Rotary sidewall coring	Mechanical tools use hollow rotary drills to cut and then pull out core plugs. Up to 75 plugs can be recovered on one run. With full recovery, cores from typical percussion tools are 1 in. [2.5 cm] in diameter by 1 3/4 in. [4.4 cm] long, while those from mechanical tools are 0.91 in. [2.3 cm] in diameter by 2 in. [5 cm] long. The latter are also known as rotary sidewall cores.		secm:core_drilling_unspecified	Core drilling	Geoscience Australia
